[2026-03-26T14:02:21.173+0900][3.529s][info][gc,heap     ] GC(14) Survivor regions: 1->1(16)
[2026-03-26T14:02:21.173+0900][3.529s][info][gc,heap     ] GC(14) Old regions: 0->0
[2026-03-26T14:02:21.173+0900][3.529s][info][gc,heap     ] GC(14) Humongous regions: 114->114
[2026-03-26T14:02:21.173+0900][3.529s][info][gc,metaspace] GC(14) Metaspace: 309K(512K)->309K(512K) NonClass: 292K(384K)->292K(384K) Class: 17K(128K)->17K(128K)
[2026-03-26T14:02:21.173+0900][3.530s][info][gc          ] GC(14) Pause Young (Concurrent Start) (G1 Humongous Allocation) 137M->114M(257M) 2.379ms
[2026-03-26T14:02:21.173+0900][3.530s][info][gc,cpu      ] GC(14) User=0.00s Sys=0.00s Real=0.00s
[2026-03-26T14:02:21.173+0900][3.530s][info][gc          ] GC(15) Concurrent Undo Cycle
[2026-03-26T14:02:21.173+0900][3.530s][info][gc,marking  ] GC(15) Concurrent Clear Claimed Marks
[2026-03-26T14:02:21.173+0900][3.530s][info][gc,marking  ] GC(15) Concurrent Clear Claimed Marks 0.042ms
[2026-03-26T14:02:21.173+0900][3.530s][info][gc,marking  ] GC(15) Concurrent Cleanup for Next Mark
